anio,tipo_eleccion,tipo_resultado,cargo,distrito,seccion,comuna,circuito,partido,votos,electores,votos_totales,partido_agrup
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,1,blanco,326,9000,8066,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,1,consenso federal,352,9000,8066,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,1,fit-u,454,9000,8066,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,1,frente de todos,3313,9000,8066,pj
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,1,impugnado,0,9000,8066,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,1,juntos por el cambio,3453,9000,8066,jxc-pro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,1,nulo,38,9000,8066,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,1,unite,130,9000,8066,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,1,votos recurridos,0,9000,8066,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,2,blanco,301,8400,7136,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,2,consenso federal,294,8400,7136,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,2,fit-u,398,8400,7136,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,2,frente de todos,3074,8400,7136,pj
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,2,impugnado,0,8400,7136,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,2,juntos por el cambio,2868,8400,7136,jxc-pro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,2,nulo,67,8400,7136,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,2,unite,134,8400,7136,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,2,votos recurridos,0,8400,7136,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,3,blanco,54,2100,1906,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,3,consenso federal,58,2100,1906,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,3,fit-u,30,2100,1906,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,3,frente de todos,278,2100,1906,pj
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,3,impugnado,0,2100,1906,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,3,juntos por el cambio,1461,2100,1906,jxc-pro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,3,nulo,2,2100,1906,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,3,unite,23,2100,1906,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,3,votos recurridos,0,2100,1906,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,4,blanco,31,2100,1733,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,4,consenso federal,31,2100,1733,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,4,fit-u,19,2100,1733,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,4,frente de todos,243,2100,1733,pj
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,4,impugnado,0,2100,1733,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,4,juntos por el cambio,1390,2100,1733,jxc-pro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,4,nulo,1,2100,1733,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,4,unite,18,2100,1733,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,4,votos recurridos,0,2100,1733,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,5,blanco,562,7800,5997,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,5,consenso federal,156,7800,5997,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,5,fit-u,159,7800,5997,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,5,frente de todos,3403,7800,5997,pj
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,5,impugnado,1,7800,5997,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,5,juntos por el cambio,1555,7800,5997,jxc-pro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,5,nulo,72,7800,5997,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,5,unite,88,7800,5997,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,5,votos recurridos,1,7800,5997,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,6,blanco,262,13500,11959,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,6,consenso federal,255,13500,11959,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,6,fit-u,185,13500,11959,otro
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,6,frente de todos,1250,13500,11959,pj
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,6,impugnado,1,13500,11959,neg
2019,G,provisorio,DIP_CABA,CABA,1,comuna 01,6,juntos por el cambio,9800,13500,11959,jxc-pro
