id,Elecciones,Partido,Porcentaje,Votos,Participacion,Electores,Votantes
"BUENOS AIRES","GENERALES 2023","BLANCO","2.64","269648","77.71","13124435","10199399"
"CATAMARCA","GENERALES 2023","BLANCO","5.16","12804","72.81","340606","247986"
"CHACO","GENERALES 2023","BLANCO","1.1","7960","72.45","1000094","724566"
"CHUBUT","GENERALES 2023","BLANCO","1.27","4502","74.54","474701","353825"
"CIUDAD AUTONOMA DE BUENOS AIRES","GENERALES 2023","BLANCO","1.69","32311","75.65","2526676","1911431"
"CORDOBA","GENERALES 2023","BLANCO","0.77","17852","76.19","3060943","2332248"
"CORRIENTES","GENERALES 2023","BLANCO","1.1","7879","76.8","930212","714443"
"ENTRE RIOS","GENERALES 2023","BLANCO","4.25","37352","76.8","1145440","879653"
"FORMOSA","GENERALES 2023","BLANCO","1.28","4675","75.61","482420","364755"
"JUJUY","GENERALES 2023","BLANCO","1.35","6253","78.35","590950","463017"
"LA PAMPA","GENERALES 2023","BLANCO","0.89","2058","77.33","300032","232000"
"LA RIOJA","GENERALES 2023","BLANCO","1.49","3606","79.62","304409","242363"
"MENDOZA","GENERALES 2023","BLANCO","1.65","18862","76.45","1494888","1142804"
"MISIONES","GENERALES 2023","BLANCO","2.74","20570","75.89","989204","750671"
"NEUQUEN","GENERALES 2023","BLANCO","2.69","11918","79.86","554077","442495"
"RIO NEGRO","GENERALES 2023","BLANCO","2.81","12923","77.05","595968","459214"
"SALTA","GENERALES 2023","BLANCO","1.09","8529","71.66","1091792","782342"
"SAN JUAN","GENERALES 2023","BLANCO","1.42","6474","74.91","607413","455037"
"SAN LUIS","GENERALES 2023","BLANCO","1.79","5867","77.99","421037","328355"
"SANTA CRUZ","GENERALES 2023","BLANCO","6.04","11268","70.25","265400","186441"
"SANTA FE","GENERALES 2023","BLANCO","0.91","18791","73.22","2827794","2070486"
"SANTIAGO DEL ESTERO","GENERALES 2023","BLANCO","1.28","8055","77.15","814128","628087"
"TIERRA DEL FUEGO","GENERALES 2023","BLANCO","1.45","1588","74.11","147968","109652"
"TUCUMAN","GENERALES 2023","BLANCO","2.08","22416","81.8","1319493","1079405"
"BUENOS AIRES","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","3.58","352790","77.71","13124435","10199399"
"CATAMARCA","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","1.57","3666","72.81","340606","247986"
"CHACO","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","0.77","5482","72.45","1000094","724566"
"CHUBUT","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","4.4","15122","74.54","474701","353825"
"CIUDAD AUTONOMA DE BUENOS AIRES","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","3.55","66145","75.65","2526676","1911431"
"CORDOBA","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","1.39","31895","76.19","3060943","2332248"
"CORRIENTES","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","1.05","7315","76.8","930212","714443"
"ENTRE RIOS","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","1.53","12760","76.8","1145440","879653"
"FORMOSA","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","0.77","2772","75.61","482420","364755"
"JUJUY","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","3.54","16006","78.35","590950","463017"
"LA PAMPA","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","2.3","5244","77.33","300032","232000"
"LA RIOJA","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","0.92","2189","79.62","304409","242363"
"MENDOZA","GENERALES 2023","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","3.48","38572","76.45","1494888","1142804"
